neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region,bin,proportion
0.00037114887827581,0,0.0,0.00037114887827581,0.205251053428715,228.33467975572202,0.0304227605347551,407100.619841211,True,neu_e_1,0,cds,0 - 1,0.35752472142036745
0.00037114887827581,0,0.0,0.00037114887827581,0.205251053428715,228.33467975572202,0.0304227605347551,407100.619841211,True,neu_e_1,0,cds,1 - 10,0.212204148332369
0.00037114887827581,0,0.0,0.00037114887827581,0.205251053428715,228.33467975572202,0.0304227605347551,407100.619841211,True,neu_e_1,0,cds,10 - 100,0.28978722538408513
0.00037114887827581,0,0.0,0.00037114887827581,0.205251053428715,228.33467975572202,0.0304227605347551,407100.619841211,True,neu_e_1,0,cds,100 - inf,0.1404839048631587
0.000377766062208493,0,2.22044604925031e-18,0.000377766062208493,0.20399026955320998,225.206040285506,0.0291019267224157,414387.947746025,True,nan,1,cds,0 - 1,0.3608644661964359
0.000377766062208493,0,2.22044604925031e-18,0.000377766062208493,0.20399026955320998,225.206040285506,0.0291019267224157,414387.947746025,True,nan,1,cds,1 - 10,0.21248670593985813
0.000377766062208493,0,2.22044604925031e-18,0.000377766062208493,0.20399026955320998,225.206040285506,0.0291019267224157,414387.947746025,True,nan,1,cds,10 - 100,0.2887328032878299
0.000377766062208493,0,2.22044604925031e-18,0.000377766062208493,0.20399026955320998,225.206040285506,0.0291019267224157,414387.947746025,True,nan,1,cds,100 - inf,0.13791602457587118
0.00037200398775252,0,1.3322676295501898e-17,0.00037200398775252,0.20700185178404898,224.456845813658,0.0326974063868311,417437.639735785,True,nan,2,cds,0 - 1,0.3555679130664116
0.00037200398775252,0,1.3322676295501898e-17,0.00037200398775252,0.20700185178404898,224.456845813658,0.0326974063868311,417437.639735785,True,nan,2,cds,1 - 10,0.21323948088047848
0.00037200398775252,0,1.3322676295501898e-17,0.00037200398775252,0.20700185178404898,224.456845813658,0.0326974063868311,417437.639735785,True,nan,2,cds,10 - 100,0.2915631731324111
0.00037200398775252,0,1.3322676295501898e-17,0.00037200398775252,0.20700185178404898,224.456845813658,0.0326974063868311,417437.639735785,True,nan,2,cds,100 - inf,0.1396294329207092
0.000368135418185996,0,0.0,0.000368135418185996,0.20628875207793304,221.757812027127,0.0329968487808898,408453.17579880706,True,neu_e_1,3,cds,0 - 1,0.35776099659712624
0.000368135418185996,0,0.0,0.000368135418185996,0.20628875207793304,221.757812027127,0.0329968487808898,408453.17579880706,True,neu_e_1,3,cds,1 - 10,0.21358009219072283
0.000368135418185996,0,0.0,0.000368135418185996,0.20628875207793304,221.757812027127,0.0329968487808898,408453.17579880706,True,neu_e_1,3,cds,10 - 100,0.29100459111520643
0.000368135418185996,0,0.0,0.000368135418185996,0.20628875207793304,221.757812027127,0.0329968487808898,408453.17579880706,True,neu_e_1,3,cds,100 - inf,0.13765432009694026
0.000370907013112744,0,0.0,0.000370907013112744,0.20017690520000897,235.618156704939,0.0296649687215237,407319.229343949,True,neu_e_1,4,cds,0 - 1,0.36469608872967846
0.000370907013112744,0,0.0,0.000370907013112744,0.20017690520000897,235.618156704939,0.0296649687215237,407319.229343949,True,neu_e_1,4,cds,1 - 10,0.20990370718424728
0.000370907013112744,0,0.0,0.000370907013112744,0.20017690520000897,235.618156704939,0.0296649687215237,407319.229343949,True,neu_e_1,4,cds,10 - 100,0.28476676935741785
0.000370907013112744,0,0.0,0.000370907013112744,0.20017690520000897,235.618156704939,0.0296649687215237,407319.229343949,True,neu_e_1,4,cds,100 - inf,0.14063343472865455
